Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	92	147	6	108	173	32	324	432	32	324	432	28	321	1660	28	321	2214	8	9	8	8	9	8	30	78	117	30	78	117
2	12	102	162	12	120	190	48	376	506	48	376	506	36	337	1696	36	337	2261	12	12	12	12	12	12	40	104	156	40	104	156
3	18	112	177	18	132	208	71	427	579	71	427	579	48	356	1733	48	356	2311	12	12	12	12	12	12	50	131	197	50	131	197
4	24	122	192	24	144	226	102	477	650	102	477	650	59	368	1767	59	368	2356	16	15	14	16	15	14	60	156	234	60	156	234
5	30	133	207	30	156	243	136	526	721	136	526	721	66	386	1803	66	386	2404	16	15	14	16	15	14	70	182	273	70	182	273
6	36	143	222	36	168	261	174	574	792	174	574	792	77	403	1836	77	403	2448	20	21	18	20	21	18	80	207	311	80	207	311
7	42	153	236	42	180	278	214	622	861	214	622	861	88	418	1871	88	418	2496	20	21	18	20	21	18	90	234	351	90	234	351
8	48	163	252	48	192	296	254	669	930	254	669	930	103	435	1904	103	435	2538	23	23	22	23	23	22	100	260	390	100	260	390
9	54	173	267	54	204	314	293	715	998	293	715	998	117	446	1938	117	446	2585	27	26	25	27	26	25	110	285	428	110	285	428
10	60	184	281	60	216	331	332	761	1065	332	761	1065	131	462	1970	131	462	2626	27	26	25	27	26	25	120	312	468	120	312	468
11	66	194	297	66	228	349	370	806	1132	370	806	1132	133	479	2003	133	479	2671	30	31	29	30	31	29	130	338	507	130	338	507
12	72	204	311	72	240	366	407	850	1197	407	850	1197	147	492	2034	147	492	2711	30	31	29	30	31	29	140	363	545	140	363	545
13	78	214	326	78	252	384	444	893	1262	444	893	1262	160	507	2066	160	507	2755	33	34	32	33	34	32	154	401	602	154	401	602
14	84	224	342	84	264	402	480	936	1326	480	936	1326	173	517	2096	173	517	2794	37	36	36	37	36	36	169	440	660	169	440	660
15	90	235	356	90	276	419	515	978	1390	515	978	1390	186	532	2127	186	532	2836	37	36	36	37	36	36	186	482	723	186	482	723
16	96	245	371	96	288	437	549	1019	1452	549	1019	1452	199	547	2156	199	547	2874	39	41	37	39	41	37	205	533	800	205	533	800
17	102	255	386	102	300	454	583	1059	1514	583	1059	1514	211	559	2186	211	559	2915	39	41	37	39	41	37	225	584	876	225	584	876
18	108	265	401	108	312	472	616	1099	1575	616	1099	1575	223	574	2214	223	574	2952	42	43	41	42	43	41	248	644	966	248	644	966
19	114	275	417	114	324	490	649	1138	1635	649	1138	1635	235	582	2244	235	582	2992	45	45	44	45	45	44	273	708	1062	273	708	1062
20	120	286	431	120	336	507	681	1176	1695	681	1176	1695	250	596	2271	250	596	3028	45	45	44	45	45	44	300	779	1169	300	779	1169
