npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	384	1088	512	4	1024	960	1024									5000	30000	35000
charsi	384	960	512	4	1024	960	1024									5000	30000	35000
akara	384	1024	512	4	1024	960	1024									5000	30000	35000
lysander	384	1024	512	9	1024	960	1024									10000	30000	35000
drognan	384	1024	512	9	1024	960	1024									10000	30000	35000
elzix	384	1024	512	9	1024	960	1024									10000	30000	35000
fara	384	1024	512	9	1024	960	1024									10000	30000	35000
hratli	384	1024	512	17	1024	960	1024									15000	30000	35000
alkor	384	1024	512	17	1024	960	1024									15000	30000	35000
ormus	384	1024	512	17	1024	960	1024									15000	30000	35000
asheara	384	1024	512	17	1024	960	1024									15000	30000	35000
jamella	384	1024	512													20000	30000	35000
halbu	384	1024	512													20000	30000	35000
malah	384	2048	512	35	1024	512	1024									25000	30000	35000
drehya	384	2048	512	35	1024	512	1024									25000	30000	35000
larzuk	384	2048	512	35	1024	512	1024									25000	30000	35000
nihlathak	384	2048	512	35	1024	512	1024									25000	30000	35000
